case,document_nr,document_name,document_href,text,log,,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"SINDILAC-CTM, who allegedly ordered security guards to block her entry to the premises; (iii) Ms Mar铆a Irma Flores N煤帽ez (Labour聽and Disputes Secretary) and Ms Leticia L贸pez Hern谩ndez, of whom the wage and benefits payments have allegedly been suspended since 14 March 2017; and (iv) Ms Araceli L贸pez Mungu铆a (General Secretary), Ms Delfina Herrera Arriaga and Ms Mar铆a Isabel Guill茅n Torres (Records Secretary), of whom the wage and benefits payments have allegedly been suspended since 15 April","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],2017,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"743.The complainant organization states that, on 12 April 2016, it initiated proceedings with the Federal Conciliation and Arbitration Board (JFCA) requesting bargaining rights to the enterprise鈥檚 collective agreement, in which it demanded the proportional representation of its affiliated workers as an independent union. The complainant reports in this respect that, on 13 June 2017, the JFCA issued its decision rejecting SUNITEL鈥檚 claim stating that the complainant had not provided a legal basis","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"for its case and the recognition it was claiming as the representative of the its worker members could not be ruled upon by the JFCA because the registration of the organization has effect in relation to all authorities. On 26 June 2017, the complainant organization sent an 鈥渁dministrative injunction鈥?to the Chairperson of the JFCA requesting the reestablishment of labour relations between the union members of SUNITEL, the enterprise and SINDILAC-CTM, but did not receive a response to its","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"request and, on 4 July 2017, the complainant organization initiated legal action for protection of constitutional rights against the decision.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"744.The complainant reports that, on 9 June 2017, Ms Araceli L贸pez Mungu铆a, Ms Mar铆a Irma Flores Mu帽oz, Ms Delfina Herrera Arriaga, Ms Mar铆a Isabel Guill茅n Torres and Ms Leticia L贸pez Hern谩ndez, were dismissed without reason and lodged a labour complaint against the dismissal. As the basis for their complaint, they cite section 123, paragraph A, clause聽XXII (employer obligations in the case of dismissal without reason or for joining an association or union).","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"745.The complainant alleges that trade union dues for SINDILAC-CTM continue to be deducted from members of SUNITEL, even after they had changed union, and that the enterprise has not responded to its request for information regarding the reason for these deductions.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"746.The complainant organization states that it has lodged several written complaints with different authorities regarding the above events, which have not received a response or聽follow-up from the agencies and authorities concerned, including: (i) a complaint regarding聽the events of 15 May 2015 lodged with the Office of the Federal Attorney for the Defence of Labour (PROFEDET); (ii) a complaint dated 16 May 2017 lodged with the聽Under-Secretary of Labour of the Ministry of Labour and Social","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"Welfare describing the violations of the rights of Ms Araceli L贸pez Mungu铆a, Ms Delfina Herrera Arriaga, Ms聽Mar铆a Irma Flores N煤帽ez, Ms Mar铆a Isabel Guill茅n Torres and Ms Leticia L贸pez Hern谩ndez; (iii) a complaint dated 25 May 2017 addressed to the President of Mexico, providing information and requesting he intervene and monitor the situation; (iv) a complaint to the National Human Rights Commission dated 1 June 2017, requesting the restitution of human and labour rights and reinstatement in","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"the workplace; (v) letters (鈥渕isivas de extra帽amiento鈥? dated 20 June 2017 addressed to the enterprise鈥檚 general manager, the Minister of the Interior and the Minister of Social Development and dated 29 June 2017 to the President of Mexico, stating that, since its establishment, the members of SUNITEL have been subject to harassment, victimization and psychological violence, in violation of their human and labour rights and; (vi) a request dated 14 June 2017 to the Director-General of the","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],parapublic enterprise reporting the existence of a trade union committee composed of SUNITEL members to justify their union activities within the enterprise.,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"747.The complainant also reports that, on 26 June 2017, SUNITEL applied to join the Revolutionary Confederation of Rural Workers (CROC), which accepted its application on 28 June 2017. On 4 August 2017, the Secretary-General of the Revolutionary Federation of Rural Workers (FROC), affiliated to CROC, sent a meeting request to the enterprise鈥檚 legal representative with a view to finding a coordinated solution to the conflict between SUNITEL, SINDILAC-CTM and the enterprise. The complainant","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],organization states that no response to this request has been received.,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"748.The complainant alleges that, on 27 September 2017, Ms Araceli L贸pez Mungu铆a (General Secretary) and Ms Margarita Leticia Flores Prudencio (Publicity and Organizational Secretary) received a criminal summons to appear on the same day before the agent of the Public Prosecutor鈥檚 Office and the V-DDF Investigation Body of the Attorney General鈥檚 Office. The members of the complainant union did not attend the appointments, as they did not receive the advance notice established under section 72 of","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],the Code of Criminal Procedure (48 hours in advance of the day and time when the proceedings are to be held). The complainant organization alleges that the summonses were intended to discourage SUNITEL from continuing to establish and promote itself.,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"749.In its communications dated 30 January and 22 November 2018, the Government provides observations from the authorities concerned and the enterprise.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"750.The Government indicates that, on 12 April 2016, SUNITEL initiated legal proceedings before the 16th Special Board of the JFCA by means of a complaint making various claims in relation to the enterprise and SINDILAC-CTM, including: (i) the inapplicability and invalidity of certain clauses of the collective labour agreement, amended on 14聽November 2017, which established excessive privileges for the signatory trade union; and (ii) the recognition of SUNITEL鈥檚 right to defend the professional","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"interests of its members. The Government states that the parties did not reach any agreement at the conciliation stage, due to the failure of the enterprise and the defendant union to appear, they also failed to appear at the conciliation, complaint and exceptions hearing and the hearing for the submission and admission of evidence, thus losing their rights to submit evidence and object to that of the other party. SUNITEL submitted evidence at the latter hearing that was admitted in its","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"entirety. On 4 April 2017, the 16th Special Board of the JFCA handed down its decision absolving the enterprise and SINDILAC-CTM, because: (i)聽the complainant organization (SUNITEL) had not proven that it had the right to proceed with its legal action, given that, in exercise of the right to freedom of association and in conformity with section 388 of the Federal Labour Act (LFT), there may be more than one union in an enterprise; however, the majority union may have constitutionally and","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"conventionally admissible privileges, consisting of the exclusive power to negotiate and review the collective labour agreement with the enterprise; (ii) the collective labour agreement applies to all unionized workers in the enterprise and members of the minority union are therefore protected on an equal footing with the workers of the majority union; (iii) the majority union鈥檚 right to hold the title to the collective labour agreement does not confer an advantage in such a way as to influence","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"the workers鈥?decision regarding the organization they wish to join; (iv) SUNITEL is not denied the means to defend the professional interests of its members, since it takes the action it considers necessary, in the name or defence of the individual rights of its members; and (v) SUNITEL does not require accreditation and its recognition cannot be the subject of a JFCA ruling, as the registration of the union and its officers has legal effect before any authorities and third parties, as","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],determined under section 368 of the LFT.,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"751.The Government notes that, with regard to the request to the Chairperson of the JFCA for an administrative injunction, which was allegedly not addressed, by agreement of 22聽February 2018, the request was reportedly regarded as received and, in view of the statements made, it was declared inadmissible in a final decision of 4 April 2017.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"752.The Government reports that the complainant lodged a direct appeal with the Seventeenth First Circuit Collegiate Labour Tribunal, which issued a ruling on 18 October 2017 rejecting the complainant鈥檚 appeal because it did not contest the grounds of the decision it was appealing. The case was closed on 14 November 2017.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"753.In view of the foregoing, the Government observes that the events that SUNITEL considers to have violated its trade union rights have been examined by the authorities in the first and second instance. However, the decisions, issued in accordance with the law, have not been in SUNITEL鈥檚 favour, as no violation of labour standards that negatively impacted them has been established.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"754.The Government notes that neither the labour complaint nor the appeal for the protection of constitutional rights concerned the bargaining rights for the collective agreement, as the complainant indicates in its complaint. However, the Government indicates that the complaint before the Committee on Freedom of Association refers to an inter-union dispute over the title to the collective labour agreement that governs the labour relations between the enterprise and unionized workers,","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"particularly those from the Tl谩huac Social Promoters Section of SUNITEL, working in the southern metropolitan management work centre and that SINILAC-CTM holds the bargaining rights for the collective agreement.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"755.As for the claim regarding the deduction of trade union dues for SINDILAC-CTM from SUNITEL members, the Government reports that: (i) all of the enterprise鈥檚 workers are members of SINDILAC-CTM, which represents the workers, including those who are supposedly members of SUNITEL; and (ii) no workers have requested to leave SINDILAC CTM or to pay dues to a different union and the enterprise is therefore unable to make any changes to the deduction of union dues, as such a unilateral intervention","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],would violate the labour rights of the workers.,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"756.With regard to the allegations of anti-union discrimination against SUNITEL members through workplace transfers starting in December 2014 when the enterprise was informed of SUNITEL鈥檚 establishment and accreditation, the Government denies such claims on the basis that all workers (including the supposed members of SUNITEL and other workers) are still assigned to the southern metropolitan management work centre. The Government indicates that these are subjective interpretations of the facts,","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"which are not supported by documentary evidence or precise and concrete data. The Government indicates that the assignment of various workers to the 鈥淣ational crusade against hunger鈥?campaign was undertaken in accordance with the individual employment contract signed between each worker and the enterprise, and that many workers were subject to these assignments or transfers, not only the members or affiliates of the complainant union. The transfer to a different work centre was therefore not an","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"act of discrimination, repression or intimidation, but was intended to fulfil the social purpose of the enterprise. Regarding the case of Mr聽Alfredo Celedonio Flores N煤帽ez, the Government reports that he was not transferred to the Toluca plant as indicated by the complainant organization, and has always been assigned to the Tl谩huac Operatives Section of the southern metropolitan management work centre (the Government attaches payslips).","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"757.In addition, with regard to the enterprise鈥檚 failure to recognize the existence of SUNITEL, the Government indicates that the enterprise has not been formally notified by SUNITEL of the accreditation supposedly issued by the labour authorities, having been informed of it only verbally, and that it has not received any requests or proposals regarding the trade union representation that SUNITEL intends to exercise.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"758.With regard to the complainant organization鈥檚 other allegations of anti-union discrimination, the Government indicates that: (i) Ms Leticia L贸pez Hern谩ndez was not suspended from working, since she has not been the subject of any administrative proceedings, so it is not the case that she was prevented from reporting for work or that she was restricted from entering her place of work; and (ii) with regard to the alleged suspension of payments to Ms聽Araceli L贸pez Mungu铆a, Ms Mar铆a Irma Flores","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"N煤帽ez, Ms聽Mar铆a Isabel Guill茅n Torres, Ms Leticia L贸pez Hern谩ndez and Ms Delfina Herrera Arriaga, the Government states that at no time did the enterprise suspend payment of wages, but the workers stopped reporting for work as of 15 April 2017. In this regard, the Government points out that for workers in the company with the status of social promoter, which includes the above-mentioned workers, there is a mechanism under which supervisors monitor and supervise attendance by going to the product","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],"distribution sites to verify that workers are present at the location where they provide services. This mechanism detected the non attendance of the workers and a procedure was carried out, in accordance with the law, in order to avoid undue payment for services not rendered (annexed confidential incident report). The Government states that since wages are paid in exchange for the provision of services, payment for services not rendered is not appropriate since it would be to the detriment of","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
Case No 3291 (Mexico),23-May-17,the Single National Independent Union of LICONSA Workers in the Mexican Republic (SUNITEL),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199'],the treasury or involve the enterprise diverting resources.,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4059199, response status: 200",,,
